VCD info: dumpfile ALU_out.vcd opened for output.
at T=   0:A = xxxx, B = xxxx,S1 = x,S0 = x, Add_Sub = xxxxx, is A>B:x, is A=B:x, is A<B:x, AND = xxxx
at T= 228:A = 0111, B = 0001,S1 = 0,S0 = 0, Add_Sub = 01000, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T= 230:A = 0111, B = 0010,S1 = 0,S0 = 0, Add_Sub = 01001, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T= 232:A = 0111, B = 0011,S1 = 0,S0 = 0, Add_Sub = 01010, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T= 234:A = 0111, B = 0100,S1 = 0,S0 = 0, Add_Sub = 01011, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T= 236:A = 0111, B = 0101,S1 = 0,S0 = 0, Add_Sub = 01100, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T= 238:A = 0111, B = 0110,S1 = 0,S0 = 0, Add_Sub = 01101, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T= 240:A = 0111, B = 0111,S1 = 0,S0 = 0, Add_Sub = 01110, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T= 242:A = 0111, B = 1000,S1 = 0,S0 = 0, Add_Sub = 01111, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T= 244:A = 0111, B = 1001,S1 = 0,S0 = 0, Add_Sub = 10000, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T= 246:A = 0111, B = 1010,S1 = 0,S0 = 0, Add_Sub = 10001, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T= 248:A = 0111, B = 1011,S1 = 0,S0 = 0, Add_Sub = 10010, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T= 250:A = 0111, B = 1100,S1 = 0,S0 = 0, Add_Sub = 10011, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T= 252:A = 0111, B = 1101,S1 = 0,S0 = 0, Add_Sub = 10100, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T= 254:A = 0111, B = 1110,S1 = 0,S0 = 0, Add_Sub = 10101, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T= 256:A = 0111, B = 1111,S1 = 0,S0 = 0, Add_Sub = 10110, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T= 258:A = 1000, B = 0000,S1 = 0,S0 = 0, Add_Sub = 01000, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T= 260:A = 1000, B = 0001,S1 = 0,S0 = 0, Add_Sub = 01001, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T= 262:A = 1000, B = 0010,S1 = 0,S0 = 0, Add_Sub = 01010, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T= 264:A = 1000, B = 0011,S1 = 0,S0 = 0, Add_Sub = 01011, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T= 266:A = 1000, B = 0100,S1 = 0,S0 = 0, Add_Sub = 01100, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T= 268:A = 1000, B = 0101,S1 = 0,S0 = 0, Add_Sub = 01101, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T= 270:A = 1000, B = 0110,S1 = 0,S0 = 0, Add_Sub = 01110, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T= 272:A = 1000, B = 0111,S1 = 0,S0 = 0, Add_Sub = 01111, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T= 274:A = 1000, B = 1000,S1 = 0,S0 = 0, Add_Sub = 10000, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T= 276:A = 1000, B = 1001,S1 = 0,S0 = 0, Add_Sub = 10001, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T= 278:A = 1000, B = 1010,S1 = 0,S0 = 0, Add_Sub = 10010, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T= 280:A = 1000, B = 1011,S1 = 0,S0 = 0, Add_Sub = 10011, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T= 282:A = 1000, B = 1100,S1 = 0,S0 = 0, Add_Sub = 10100, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T= 284:A = 1000, B = 1101,S1 = 0,S0 = 0, Add_Sub = 10101, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T= 286:A = 1000, B = 1110,S1 = 0,S0 = 0, Add_Sub = 10110, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T= 288:A = 1000, B = 1111,S1 = 0,S0 = 0, Add_Sub = 10111, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T= 290:A = 1001, B = 0000,S1 = 0,S0 = 0, Add_Sub = 01001, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T= 292:A = 1001, B = 0001,S1 = 0,S0 = 0, Add_Sub = 01010, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T= 294:A = 1001, B = 0010,S1 = 0,S0 = 0, Add_Sub = 01011, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T= 296:A = 1001, B = 0011,S1 = 0,S0 = 0, Add_Sub = 01100, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T= 298:A = 1001, B = 0100,S1 = 0,S0 = 0, Add_Sub = 01101, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T= 300:A = 1001, B = 0101,S1 = 0,S0 = 0, Add_Sub = 01110, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T= 302:A = 1001, B = 0110,S1 = 0,S0 = 0, Add_Sub = 01111, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T= 304:A = 1001, B = 0111,S1 = 0,S0 = 0, Add_Sub = 10000, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T= 306:A = 1001, B = 1000,S1 = 0,S0 = 0, Add_Sub = 10001, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T= 308:A = 1001, B = 1001,S1 = 0,S0 = 0, Add_Sub = 10010, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T= 310:A = 1001, B = 1010,S1 = 0,S0 = 0, Add_Sub = 10011, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T= 312:A = 1001, B = 1011,S1 = 0,S0 = 0, Add_Sub = 10100, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T= 314:A = 1001, B = 1100,S1 = 0,S0 = 0, Add_Sub = 10101, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T= 316:A = 1001, B = 1101,S1 = 0,S0 = 0, Add_Sub = 10110, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T= 318:A = 1001, B = 1110,S1 = 0,S0 = 0, Add_Sub = 10111, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T= 320:A = 1001, B = 1111,S1 = 0,S0 = 0, Add_Sub = 11000, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T= 322:A = 1010, B = 0000,S1 = 0,S0 = 0, Add_Sub = 01010, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T= 324:A = 1010, B = 0001,S1 = 0,S0 = 0, Add_Sub = 01011, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T= 326:A = 1010, B = 0010,S1 = 0,S0 = 0, Add_Sub = 01100, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T= 328:A = 1010, B = 0011,S1 = 0,S0 = 0, Add_Sub = 01101, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T= 330:A = 1010, B = 0100,S1 = 0,S0 = 0, Add_Sub = 01110, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T= 332:A = 1010, B = 0101,S1 = 0,S0 = 0, Add_Sub = 01111, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T= 334:A = 1010, B = 0110,S1 = 0,S0 = 0, Add_Sub = 10000, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T= 336:A = 1010, B = 0111,S1 = 0,S0 = 0, Add_Sub = 10001, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T= 338:A = 1010, B = 1000,S1 = 0,S0 = 0, Add_Sub = 10010, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T= 340:A = 1010, B = 1001,S1 = 0,S0 = 0, Add_Sub = 10011, is A>B:0, is A=B:0, is A<B:0, AND = 0000
